0,10,0
0.05,10,-0.5
0.1,9.975,-0.975
0.15,9.92625,-1.425
0.2,9.855,-1.85006
0.25,9.7625,-2.25031
0.3,9.64998,-2.62592
0.35,9.51869,-2.97712
0.4,9.36983,-3.3042
0.45,9.20462,-3.60748
0.5,9.02425,-3.88734
0.55,8.82988,-4.14418
0.6,8.62267,-4.37847
0.65,8.40375,-4.59068
0.7,8.17421,-4.78133
0.75,7.93515,-4.95098
0.8,7.6876,-5.10018
0.85,7.43259,-5.22955
0.9,7.17111,-5.33971
0.95,6.90412,-5.43128
1,6.63256,-5.50492
1.05,6.35731,-5.5613
1.1,6.07925,-5.6011
1.15,5.79919,-5.62501
1.2,5.51794,-5.63372
1.25,5.23626,-5.62793
1.3,4.95486,-5.60835
1.35,4.67444,-5.57567
1.4,4.39566,-5.53061
1.45,4.11913,-5.47386
1.5,3.84544,-5.40613
1.55,3.57513,-5.32809
1.6,3.30873,-5.24044
1.65,3.0467,-5.14386
1.7,2.78951,-5.039
1.75,2.53756,-4.92653
1.8,2.29123,-4.80708
1.85,2.05088,-4.68129
1.9,1.81682,-4.54977
1.95,1.58933,-4.41312
2,1.36867,-4.27193
2.05,1.15508,-4.12677
2.1,0.948738,-3.97818
2.15,0.749828,-3.82671
2.2,0.558493,-3.67286
2.25,0.37485,-3.51715
2.3,0.198993,-3.36003
2.35,0.030991,-3.20198
2.4,-0.129108,-3.04343
2.45,-0.28128,-2.8848
2.5,-0.42552,-2.7265
2.55,-0.561845,-2.5689
2.6,-0.69029,-2.41236
2.65,-0.810908,-2.25723
2.7,-0.923769,-2.10382
2.75,-1.02896,-1.95244
2.8,-1.12658,-1.80337
2.85,-1.21675,-1.65687
2.9,-1.29959,-1.51319
2.95,-1.37525,-1.37255
3,-1.44388,-1.23516
3.05,-1.50564,-1.10121
3.1,-1.5607,-0.970868
3.15,-1.60924,-0.84429
3.2,-1.65146,-0.721613
3.25,-1.68754,-0.60296
3.3,-1.71769,-0.488435
3.35,-1.74211,-0.378129
3.4,-1.76102,-0.272117
3.45,-1.77462,-0.17046
3.5,-1.78314,-0.0732061
3.55,-1.7868,0.0196114
3.6,-1.78582,0.107971
3.65,-1.78043,0.191864
3.7,-1.77083,0.271292
3.75,-1.75727,0.346269
3.8,-1.73995,0.416819
3.85,-1.71911,0.482975
3.9,-1.69496,0.544782
3.95,-1.66773,0.602291
4,-1.63761,0.655563
4.05,-1.60483,0.704666
4.1,-1.5696,0.749674
4.15,-1.53212,0.79067
4.2,-1.49258,0.827742
4.25,-1.45119,0.860984
4.3,-1.40815,0.890495
4.35,-1.36362,0.916377
4.4,-1.3178,0.93874
4.45,-1.27087,0.957693
4.5,-1.22298,0.973351
4.55,-1.17431,0.985833
4.6,-1.12502,0.995257
4.65,-1.07526,1.00175
4.7,-1.02517,1.00542
4.75,-0.9749,1.00641
4.8,-0.92458,1.00483
4.85,-0.874338,1.00082
4.9,-0.824297,0.994496
4.95,-0.774572,0.985986
5,-0.725273,0.975415
